
Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Airijoje (Nr.1) rinkimų apylinkė

Tėvynės sąjunga - Lietuvos krikščionys demokratai

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ROLANDAS PAULAUSKAS	1	
2	AUDRIUS NAKAS	2	
3	KAZIMIERAS JURAITIS	3	
4	MARIUS JONAITIS	5	
5	DANGUOLĖ TAUTVYDIENĖ	4	
6	VYTAUTAS JUOZAPAITIS	10	
7	EUGENIJUS PALIOKAS	8	
8	ELONA ŠVIPIENĖ	11	
9	STANISLAVA ŠUMILAITĖ	7	
10	VITALIJUS BALKUS	9	
11	LINA ČERNECKYTĖ	6	
12	GINTARAS RADVILA	28	
13	RIČARDAS VYSOCKIS	12	
14	EGIDIJUS BALTUŠIS	14	
15	ARTAS BRASAS	26	
16	MODESTAS POCIUS	18	
17	ARTŪRAS ŠIDLAUSKAS	38	
18	GINTARAS JAZDAUSKAS	21	
19	ALDAS MAČIULIS	36	
20	IRENA IZOLINA JUOZAPAITIENĖ	29	
21	ANGELĖ KOSTOGRIZIENĖ	13	
22	RIMA PAUKŠTELIENĖ	17	
23	JUSTAS SKAUMINAS	22	
24	ARTŪRAS SINKEVIČIUS	37	
25	VAIDA JUOZAPAITYTĖ	33	
26	VILTANA ŠAKENYTĖ	20	
27	RASA ANDRIUŠIENĖ	25	
28	VITALIJ MUCHLIADO	15	
29	KAROLIS SKIRKUS	16	
30	JELENA GRABOVSKAJA	31	
31	ANGELĖ AMBRAZIENĖ	24	
32	ANDRIUS CHRAPOVICKIS	19	
33	MANTAS ZATURSKIS	27	
34	RĖDA BISTRICKAITĖ	35	
35	VLADAS JURGELEVIČIUS	32	
36	DANUTĖ JASILIONIENĖ	30	
37	DANGIRDAS MIKŠYS	23	
38	STEPAS BALIULIS	34	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Pietų Afrikos Respublikoje (Nr.66) rinkimų apylinkė

S. Buškevičiaus ir Tautininkų koalicija „Prieš korupciją ir skurdą“ (Partija „Jaunoji Lietuva“, Tautininkų sąjunga)

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	STANISLOVAS BUŠKEVIČIUS	1	
2	STASYS BUŠKEVIČIUS	4	
3	AUDRIUS RUDYS	2	
4	RIČARDAS ČEKUTIS	5	
5	GEDIMINAS NAVAITIS	3	
6	AUŠRYS KRIŠČIŪNAS	6	
7	ALGIRDAS ENDRIUKAITIS	7	
8	VYTAUTAS MIKĖNAS	8	
9	VILMA ČEKUTIENĖ	13	
10	GINTARAS ŠLEŽAS	9	
11	TOMAS BARANAUSKAS	15	
12	SAKALAS GORODECKIS	11	
13	MARIUS KUNDROTAS	17	
14	SIMONA KUPRATĖ	12	
15	KAZIMIERAS BARTKEVIČIUS	10	
16	MARIUS ŠILEIKA	21	
17	VITALIJA MAŽONIENĖ	66	
18	RAMŪNAS VALATKA	33	
19	TOMAS ŠVILPAUSKAS	14	
20	DONATA VAIČYTĖ-MARTINKIENĖ	20	
21	VLADAS TUMĖNAS	38	
22	SAULĖ BUŠKEVIČIŪTĖ	54	
23	ILONA SUTKEVIČIŪTĖ	16	
24	KAROLIS RAGUOTIS	65	
25	RIČARDAS GARUOLIS	19	
26	ARŪNAS EIGIRDAS	25	
27	NERINGA KALPOKAITĖ	48	
28	MIRETA LINGEVIČIŪTĖ	26	
29	GABRIELĖ LAPKOVSKYTĖ	40	
30	TOMAS SKORUPSKIS	29	
31	MARIJUS ŠIRVAITIS	18	
32	ROMAS SURVILA	30	
33	RIMA LAIMIKIENĖ	27	
34	JUOZAS BAJORAS	24	
35	VYTAUTAS STEPAS	39	
36	ANTANAS MALEVIČIUS	22	
37	ALFONSAS LUPEIKIS	23	
38	DAIVA KRŪMINIENĖ	28	
39	REIMUNDAS VARAPICKAS	31	
40	KRISTINA BAKĖ	32	
41	JŪRATĖ APOLIANSKIENĖ	34	
42	VLADAS TURČINAVIČIUS	35	
43	GENUTĖ KASTANTINAVIČIENĖ	36	
44	ALGIMANTAS SABALIAUSKAS	37	
45	MARIJUS ČEKAVIČIUS	41	
46	SAULIUS PETKEVIČIUS	43	
47	KAROLIS ŠLIVINSKAS	44	
48	SAULIUS KULVIČIUS	45	
49	MAKSIMAS TARASOVAS	46	
50	EUGENIJUS DEGUTIS	47	
51	REDAS JABLONSKIS	49	
52	IRENA SATKAUSKIENĖ	50	
53	ŽILVINAS PRANAUSKAS	51	
54	DŽIULJETA MIRONAITĖ	52	
55	VILIJA ŠILEIKIENĖ	53	
56	ARŪNAS MAKAUSKAS	55	
57	VILIUS TUMALAVIČIUS	56	
58	GINTARAS SVETLAVIČIUS	57	
59	STEPONAS RIMKUS	58	
60	VALDAS LADAVIČIUS	59	
61	LIUDA VANDA POTAPENKO	61	
62	VIDAS SKINDERSKIS	62	
63	ROMUALDAS JUOZAS TUNAITIS	63	
64	SIMONAS BIZEVIČIUS	64	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Ambasada Pietų Afrikos Respublikoje (Nr.66) rinkimų apylinkė

„Drąsos kelias“ politinė partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	JONAS VARKALA	1	
2	AUDRONĖ SKUČIENĖ	2	
3	EINARAS VILDĖ	3	
4	IRENIJUS ZALECKIS	5	
5	ARŪNAS BANAITIS	9	
6	RAIMUNDAS ČIEGIS	7	
7	MYKOLAS KAČINSKAS	6	
8	RENALDAS ŠČIGLINSKAS	17	
9	VYTAUTAS PEČIŪRA	10	
10	JŪRATĖ GAUČIENĖ	13	
11	EDMUNDAS LIMANTAS	8	
12	BIRUTĖ DILPŠIENĖ	18	
13	AUDRONĖ KLIMAVIČIENĖ	14	
14	ROMALDAS DRIGOTAS	33	
15	VIDA VAIVA ARMONIENĖ	32	
16	RIMANTAS PETRIKAS	11	
17	DARIUS KAMINICKAS	15	
18	ALGIRDAS GRIKŠAS	27	
19	GINTAUTAS AUGUSTAITIS	12	
20	VYTAUTAS JANKAUSKAS	16	
21	RENATAS GUDZEVIČIUS	19	
22	VAIDAS SĖLENIS	20	
23	RYTIS GAUČYS	21	
24	EVELINA BANIULIENĖ	22	
25	GĖLSINA CHAMATOVA	23	
26	VALDAS FILIPONIS	24	
27	DONATAS FIRSOVAS	25	
28	VIRGINIJUS GIRUTIS	26	
29	DONATA LINIAUSKIENĖ	28	
30	NERINGA BALIUKONIENĖ	29	
31	DŽENETA MARKAUSKAITĖ	30	
32	ZETA ŠTARKEVIČIENĖ	31	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Los Andžele (Nr.67) rinkimų apylinkė

Tėvynės sąjunga - Lietuvos krikščionys demokratai

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	GABRIELIUS LANDSBERGIS	1	40
2	INGRIDA ŠIMONYTĖ	4	36
3	ANDRIUS KUBILIUS	3	38
4	IRENA DEGUTIENĖ	2	32
5	AGNĖ BILOTAITĖ	5	18
6	RASA JUKNEVIČIENĖ	7	17
7	ŽYGIMANTAS PAVILIONIS	18	32
8	RADVILĖ MORKŪNAITĖ-MIKULĖNIENĖ	9	
9	PAULIUS SAUDARGAS	6	4
10	MANTAS ADOMĖNAS	14	2
11	MYKOLAS MAJAUSKAS	36	6
12	TADAS LANGAITIS	29	5
13	DAINIUS KREIVYS	12	10
14	VYTAUTAS JUOZAPAITIS	8	5
15	VYTAUTAS KERNAGIS	22	3
16	KĘSTUTIS MASIULIS	19	4
17	JURGIS RAZMA	10	10
18	LAURYNAS KASČIŪNAS	11	13
19	ARVYDAS ANUŠAUSKAS	13	3
20	EMANUELIS ZINGERIS	16	2
21	AUDRONIUS AŽUBALIS	17	4
22	MONIKA NAVICKIENĖ	25	
23	RIMANTAS JONAS DAGYS	15	
24	ROKAS ŽILINSKAS	34	3
25	KAZYS STARKEVIČIUS	20	1
26	STASYS ŠEDBARAS	23	2
27	SERGEJUS JOVAIŠA	24	3
28	GINTARĖ SKAISTĖ	35	1
29	ANDRIUS NAVICKAS	31	2
30	ANDRIUS KUPČINSKAS	30	5
31	VILIJA ALEKNAITĖ ABRAMIKIENĖ	21	3
32	AISTĖ GEDVILIENĖ	28	
33	LIUTAURAS KAZLAVICKAS	26	2
34	JUOZAS PUNDZIUS	42	
35	VALENTINAS STUNDYS	27	1
36	ANDRIUS VYŠNIAUSKAS	45	
37	ANTANAS MATULAS	37	1
38	ARVYDAS VIDŽIŪNAS	32	1
39	VINCĖ VAIDEVUTĖ MARGEVIČIENĖ	33	
40	VILIUS SEMEŠKA	46	
41	DONATAS JANKAUSKAS	40	
42	MARTYNAS ŠIURKUS	141	
43	EDMUNDAS PUPINIS	50	
44	TOMAS PETREIKIS	55	
45	JUOZAS GALDIKAS	43	
46	JULIUS DAUTARTAS	38	5
47	JUSTINAS URBANAVIČIUS	48	
48	RYTAS KUPČINSKAS	44	
49	VAIDAS ŠALAŠEVIČIUS	47	
50	EDITA GUDIŠAUSKIENĖ	68	1
51	KĘSTUTIS AČAS	69	
52	AUŠRA ŽALYTĖ	138	
53	ANDRIUS BAUTRONIS	64	
54	ANDRIUS JUČAS	74	
55	SANDRA TAMAŠAUSKIENĖ	61	1
56	VIDAS URBONAVIČIUS	41	
57	RASA PETRAUSKIENĖ	52	
58	SAULIUS ŠILINIS	140	
59	RASA BAŠKIENĖ	51	5
60	LORETA KALNIKAITĖ	53	
61	RASA DUOBAITĖ-BUMBULIENĖ	54	
62	IRENA HAASE	60	
63	SAULIUS PEČELIŪNAS	39	1
64	GVIDAS RUTKAUSKAS	57	1
65	ANDRIUS TUČKUS	58	1
66	GEDIMINAS ANUŽIS	65	
67	ARVYDAS ALIŠAUSKAS	49	
68	AGNĖ BALČIŪNIENĖ	113	
69	DARIUS MOCKUS	101	
70	POVILAS BALČIŪNAS	70	
71	ANDRIJANA FILINAITĖ	124	
72	GINTARAS CHŠČENAVIČIUS	71	
73	LINA RIMKIENĖ	82	
74	TADAS BRUZGULIS	95	
75	IRUTĖ VARZIENĖ	66	
76	SIGUTIS OBELEVIČIUS	59	
77	VAIDOTAS BACEVIČIUS	87	2
78	RIMANTAS DIDŽIOKAS	62	
79	VIOLETA PODOLSKAITĖ	77	1
80	GEDIMINAS KRASAUSKAS	85	1
81	ALGIS KAZULĖNAS	72	
82	VITALIJUS SATKEVIČIUS	81	
83	ALGIS STRELČIŪNAS	86	
84	JONAS BANYS	90	
85	JOLANTA MARGAITIENĖ	56	
86	ARŪNAS BARBŠYS	63	
87	GIEDRĖ ČEPAITIENĖ	100	
88	MANTAS JURGELAITIS	139	
89	KRISTIJONAS PALIUTIS	114	
90	GEDIMINAS VALINEVIČIUS	67	
91	ASTA BEIERLE EIGIRDIENĖ	73	
92	DAIVARAS RYBAKOVAS	99	
93	VALDAS ALEKNAVIČIUS	102	
94	ANDRIUS PETRAITIS	110	
95	VYTAUTAS NAVICKAS	88	
96	REGINA LUKOŠEVIČIENĖ	91	
97	LINA PUDŽIUVELYTĖ	135	
98	JUSTINAS PRANYS	75	
99	SKAIDRA DIŠLĖ	80	
100	ŠARŪNAS KUNIGĖLIS	103	
101	EDGARAS PILYPAITIS	132	
102	MODESTAS KUODIS	97	
103	RIMVYDAS MITKUS	131	
104	ERIKA KIŽIENĖ	126	
105	ARNAS LIAUKSMINAS	133	
106	POVILAS KARVELIS	105	
107	ALGIRDAS KLIMAITIS	94	
108	VILHELMINAS JANUŠONIS	118	
109	RAMŪNAS KARTENIS	137	
110	VIDMANTAS BUDRYS	136	
111	GEDIMINAS KAZĖNAS	98	
112	IRENA PALIONIENĖ	76	
113	VYTAUTAS STANSLOVAS	93	
114	VIDMANTAS ŽILIUS	83	
115	ALFREDA TAMOŠEVIČIENĖ	106	2
116	EDITA VAITIEKŪNIENĖ	134	
117	ANTANAS BARTULIS	104	
118	ŽILVINAS LELEIVA	79	
119	DARIUS EREMINAS	123	
120	DALIA MEŠKAUSKIENĖ	130	
121	MAURIKIJUS GRĖBLIŪNAS	111	
122	VYTAUTAS JUDICKAS	108	
123	PETRAS MENDEIKA	92	
124	GIEDRIUS GRAŽULIS	115	
125	SIGITAS ČIRBA	119	
126	VIRGINIJUS KASILIAUSKAS	117	
127	VYKINTAS STUMBRYS	116	
128	ALGIMANTAS VAITKUS	109	
129	ALGIRDAS GASIŪNAS	128	
130	MINDAUGAS PETRAS BALAŠAITIS	107	
131	DARIUS JUODAITIS	112	
132	VYTAUTAS GIMŽAUSKAS	127	
133	VITOLIS JANUŠEVIČIUS	84	
134	GINTAUTAS MACKONIS	121	
135	PAULIUS MARTINKĖNAS	129	
136	VIDA STASĖ SKARELIENĖ	89	
137	DARIUS ŠEŠKEVIČIUS	125	
138	VIKTORAS GANUSAUSKAS	120	
139	EDGARAS NORGELA	122	
140	ALDONA JANUŠEVIČIENĖ	78	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Los Andžele (Nr.67) rinkimų apylinkė

Lietuvos valstiečių ir žaliųjų sąjunga

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	SAULIUS SKVERNELIS	1	6
2	RAMŪNAS KARBAUSKIS	2	4
3	RIMA BAŠKIENĖ	3	
4	AURELIJUS VERYGA	5	3
5	POVILAS URBŠYS	7	1
6	EUGENIJUS JOVAIŠA	4	
7	DAINIUS KEPENIS	10	2
8	STASYS JAKELIŪNAS	9	2
9	VIKTORAS PRANCKIETIS	6	
10	ANDRIEJUS STANČIKAS	8	1
11	VYTAUTAS BAKAS	12	
12	GUODA BUROKIENĖ	11	
13	VALERIJUS SIMULIK	16	
14	JONAS JARUTIS	14	2
15	MINDAUGAS PUIDOKAS	22	
16	BRONIUS MARKAUSKAS	15	
17	DOVILĖ ŠAKALIENĖ	30	2
18	VIKTORAS RINKEVIČIUS	13	
19	STASYS TUMĖNAS	29	
20	VIRGILIJUS PODERYS	18	
21	AGNĖ ŠIRINSKIENĖ	21	
22	GEDIMINAS VASILIAUSKAS	17	
23	EGIDIJUS VAREIKIS	141	2
24	GRETA KILDIŠIENĖ	25	
25	DAINIUS GAIŽAUSKAS	58	
26	KĘSTUTIS SMIRNOVAS	20	
27	KĘSTUTIS MAŽEIKA	39	
28	RŪTA MILIŪTĖ	114	1
29	VIRGINIJUS SINKEVIČIUS	26	
30	ALFREDAS STASYS NAUSĖDA	65	
31	VALIUS ĄŽUOLAS	48	
32	VIDA AČIENĖ	45	
33	GINTAUTAS KINDURYS	24	
34	JUOZAS RIMKUS	32	
35	ASTA KUBILIENĖ	36	
36	AUŠRA PAPIRTIENĖ	38	
37	JUSTAS DŽIUGELIS	23	1
38	VIRGINIJA VINGRIENĖ	27	
39	ROBERTAS ŠARKNICKAS	49	1
40	BRONISLOVAS MATELIS	28	
41	PETRAS NEVULIS	19	
42	AUŠRINĖ NORKIENĖ	53	
43	TOMAS TOMILINAS	47	
44	VYTAUTAS RASTENIS	54	
45	ARŪNAS GUMULIAUSKAS	34	
46	ANTANAS BAURA	31	
47	AUDRONĖ JANKUVIENĖ	46	
48	NERINGA TRINSKIENĖ	33	
49	JUOZAS PABRĖŽA	67	
50	RIMANTAS VALIUKAS	35	
51	AUDRYS ŠIMAS	37	
52	GIEDRIUS SURPLYS	56	3
53	ZENONAS STREIKUS	40	
54	VITALIJA JANKAUSKAITĖ-MILČIUVIENĖ	73	
55	ALGIMANTAS BIRBILAS	55	
56	JUOZAS VARŽGALYS	44	
57	PAULIUS ZAVIŠA	50	1
58	ANTANAS KLIUNKA	62	
59	VYTAUTAS BARKAUSKAS	85	
60	ARVYDAS NEKROŠIUS	68	
61	BIRUTĖ JATAUTAITĖ	84	
62	LAURAS STACEVIČIUS	61	
63	DEIMANTĖ ŠARLAUSKIENĖ	140	
64	PETRAS VALIŪNAS	69	
65	ALGIMANTAS KIRKUTIS	52	
66	ARMINAS MOCKEVIČIUS	70	
67	IZIDORIUS ŠIMKUS	87	
68	ANTANAS RAINYS	139	
69	GAILA MATULYTĖ	93	
70	DARIUS RAMANČIONIS	97	
71	LEVUTĖ STANIUVIENĖ	51	
72	LAIMUTĖ MATKEVIČIENĖ	76	
73	ARŪNAS MERKELIS	64	
74	BENIUS RŪTELIONIS	41	1
75	KĘSTUTIS ARMONAS	89	
76	EIMANTAS SALATKA	71	1
77	AURIMAS GAIDŽIŪNAS	59	
78	ADELĖ ŠTELMOKIENĖ	79	
79	KAROLIS MARTINKUS	72	
80	JUOZAS DAPŠAUSKAS	80	
81	GINTARAS STAŠIONIS	77	
82	TOMAS BAKUČIONIS	43	
83	ARŪNAS GRAŽULIS	91	
84	LINA NEMEIKŠIENĖ	66	
85	VALENTINAS GRAŽULIS	122	
86	AUDRIUS DAUNORAVIČIUS	137	
87	ĄŽUOLAS RAŠKEVIČIUS	78	
88	DENIS MICHALENKO	95	
89	AUSMA MIŠKINIENĖ	131	
90	DARIUS PETRAUSKAS	60	
91	VIDMANTAS PALIULIS	90	
92	AUDRIUS STANKEVIČIUS	100	
93	JONAS ŠIMKUS	116	
94	ANTANAS PLIESKIS	42	
95	ALVYDAS ŽUVININKAS	112	
96	AGNĖ PRUŠINSKAITĖ	118	
97	VALDAS ŽIČKA	127	
98	RIMANTĖ MISIŪNIENĖ	86	
99	VILMA RUMŠIENĖ	111	
100	VYTAUTAS VĖŽELIS	101	
101	BIRUTĖ GILER	104	
102	MARTYNAS NORBUTAS	99	
103	MARIJONAS ČAPKOVSKIS	57	
104	VITALIUS BESAKIRSKAS	63	
105	ANDRIUS ŠIMAS	132	
106	BRONISLOVAS LIUTKUS	88	
107	ANDRIUS TAMULIONIS	120	
108	ROMAS PIVORAS	102	
109	EGLĖ STASIŠKIENĖ	130	
110	VAIDAS TALAČKA	108	
111	VALENTINAS DYLERTAS	136	
112	ARŪNAS GLAVICKAS	138	
113	JONAS JAKAITIS	96	
114	TADAS GALINAITIS	126	
115	PETRAS VAITELIS	129	
116	JADVYGA ČEPLIKIENĖ	94	
117	BIRUTĖ STANKEVIČIENĖ	128	
118	KĘSTAS SPŪDYS	125	
119	REMIGIJUS KELNERIS	105	
120	KĘSTUTIS BACVINKA	83	
121	SIGITA ČERNEVIČIENĖ	135	
122	KAZYS VIRŠILAS	103	
123	KĘSTUTIS DAMBRAUSKAS	115	
124	ALBERTAS ŠILKAITIS	121	
125	ARŪNAS ANDZIULIS	81	
126	ANDRIEJUS VIRKUTIS	110	
127	DOMINYKAS TUTKUS	92	
128	ROLANDAS STANKEVIČIUS	82	
129	ARŪNAS AMBRASAS	109	
130	RAIMUNDAS STANKEVIČIUS	134	
131	NIJOLĖ VALUCKIENĖ	113	
132	RIMANTAS ŽIDANAVIČIUS	107	
133	ALEKSANDRA MINAJEVA	75	
134	GINTARAS BINKAUSKAS	124	
135	ALGIRDAS BANSEVIČIUS	106	
136	DAINIUS ŠVIPAS	119	
137	ARŪNAS ŠČERBAVIČIUS	117	
138	SIGITAS ALGIS DAVENIS	123	
Pastaba. Daugiamandatėje apygardoje išrinkti Seimo nariai užrašyti paryškintu šriftu. Vienmandatėje apygardoje išrinkti kandidatai pažymėti žyma "(V)"
Biudžetinė įstaiga, Gynėjų g. 8, 01109 Vilnius
Informacija rinkėjui 1855
Faksas: (8 5) 239 69 60
El. paštas: rinkim@vrk.lt
Duomenys kaupiami ir saugomi
Juridinių asmenų registre, kodas 188607150
 
 



Lietuvos Respublikos vyriausioji rinkimų komisija
Like Page
3.3K likes


   
KalbaNeįgaliesiems
PradžiaNaujienos Struktūra ir kontaktai Teisinė informacija Veikla Paslaugos Nuorodos
VRK meniu
Rinkimai
2016 m. Seimo rinkimai
2016 m. Seimo rinkimų rezultatai
2016 m. Seimo rinkimų rezultatai

2016 m. spalio 9 d. Lietuvos Respublikos Seimo rinkimai

Pastaba. Pateikiami duomenys yra išankstiniai.

Puslapis atnaujintas 2016-10-11 08:00

Naujamiesčio (Nr.1) rinkimų apygarda

Generalinis konsulatas Los Andžele (Nr.67) rinkimų apylinkė

Lietuvos socialdemokratų partija

Pirmumo balsai

Porinkiminis nr sąraše	Vardas, pavardė	Priešrinkiminis nr sąraše	Pirmumo
balsai
1	ALGIRDAS BUTKEVIČIUS	1	3
2	GEDIMINAS KIRKILAS	6	1
3	RASA BUDBERGYTĖ	3	1
4	ALGIRDAS SYSAS	2	2
5	JUOZAS OLEKAS	4	1
6	JULIUS SABATAUSKAS	10	1
7	JURAS POŽELA	8	2
8	ALGIMANTAS SALAMAKINAS	16	2
9	LINAS ANTANAS LINKEVIČIUS	34	1
10	RAMINTA POPOVIENĖ	5	
11	IRENA ŠIAULIENĖ	7	
12	JUOZAS BERNATONIS	17	1
13	RIMANTĖ ŠALAŠEVIČIŪTĖ	22	
14	ARTŪRAS SKARDŽIUS	23	
15	BRONIUS BRADAUSKAS	30	
16	MARIJA AUŠRINĖ PAVILIONIENĖ	25	2
17	BENEDIKTAS JUODKA	14	1
18	BIRUTĖ VĖSAITĖ	18	
19	EDVARDAS ŽAKARIS	12	
20	ANTANAS SIREIKA	141	
21	RIMANTAS BENETIS	31	
22	RIMANTAS SINKEVIČIUS	27	
23	ANTANAS VINKUS	61	
24	ORINTA LEIPUTĖ	20	1
25	RAMŪNAS BUROKAS	11	
26	MILDA PETRAUSKIENĖ	15	
27	DARIUS PETROŠIUS	24	
28	GINTAUTAS PALUCKAS	41	1
29	ANTANAS NESTECKIS	46	
30	ARVYDAS MOCKUS	52	
31	KRISTINA MIŠKINIENĖ	13	
32	JUSTAS PANKAUSKAS	19	
33	ALGIRDAS BALČYTIS	81	1
34	LINAS JONAUSKAS	56	
35	AUKSĖ KONTRIMIENĖ	9	
36	ALBINAS MITRULEVIČIUS	21	
37	DAINIUS PAVALKIS	77	
38	ANDRIUS PALIONIS	38	1
39	FAUSTAS LATĖNAS	62	
40	AURELIJA MAKŪNIENĖ	75	
41	GINTAUTAS MIKOLAITIS	53	
42	EDMUNDAS JONYLA	33	
43	ARŪNAS DUDĖNAS	37	1
44	BRONIUS PAUŽA	26	
45	ALMA MONKAUSKAITĖ	28	
46	PRANAS PETROŠIUS	72	
47	DOMAS PETRULIS	47	1
48	MARIUS SKARUPSKAS	32	
49	VIDAS MIKALAUSKAS	70	
50	MINDAUGAS BASTYS	43	
51	VYDAS BARAVYKAS	66	2
52	VIRGINIJUS NOREIKA	132	
53	SAULIUS URBONAS	87	
54	RIMANTAS VAITKUS	42	
55	KAZYS GRYBAUSKAS	57	
56	EDUARDAS ŠABLINSKAS	51	
57	MARIUS NORVAIŠA	86	
58	RITA GRIGALIENĖ	99	
59	ALBINAS EŽERSKIS	71	
60	IRENA MACIJAUSKIENĖ	35	
61	DIANA KAUPAITIENĖ	39	
62	JONAS AUDĖJAITIS	48	
63	TOMAS MARTINAITIS	97	
64	MODESTA PETRAUSKAITĖ	45	
65	EGIDIJUS GAIDAMAVIČIUS	103	
66	MINDAUGAS JANULIONIS	140	
67	VIDMANTAS NORVAIŠAS	119	
68	LINA KUJALYTĖ	58	
69	LILIJA PETRAITIENĖ	36	
70	LAIMA NAGIENĖ	44	
